# genetated time: datetime
# histogram number: histogram_bin_num
# sample number: num_samples
# tune number: tune_num
# op_name    threshold    min    max
9 0 0 767
10 0 -447.4284 408.3748
11 0 -447.4284 408.3748
12 0 -1e-05 1e-05
13 0 -1e-05 1e-05
14 0 -1e-05 1e-05
15 0 -1e-05 1e-05
16 0 -1e-05 1e-05
17 0 -1e-05 1e-05
18 0 -1.704381e+38 707
19 0 -1e-05 1e-05
20 0 -1e-05 1e-05
21 0 -1e-05 1e-05
22 0 -1e-05 1e-05
23 0 -1.704381e+38 267
